UMAP1,UMAP2,pKi
7.8141923,14.675938,7.602059991327962
7.8411922,14.656288,7.599980364934842
7.8076544,14.638497,7.599980364934842
9.963595,4.9294477,7.698970004336019
9.95926,4.9375596,7.700057099977233
9.982861,4.9124837,8.100015437450608
7.491789,14.542763,6.399996913372259
7.5173573,14.529111,6.199998172182031
9.899506,5.2164836,7.602059991327962
9.890739,5.199296,7.599980364934842
9.8950405,5.204698,8.400007822415901
-10.723123,-20.490385,8.400007822415901
-10.714945,-20.497505,8.700057099977233
10.509611,3.63058,6.634512015109101
10.509807,3.6305368,6.599997654072044
10.512535,3.6287875,6.699991797446187
9.75854,5.0893946,7.958607314841775
9.792068,5.0794983,8.0
9.762824,5.1091967,8.100015437450608
9.895206,5.2003627,7.795880017344075
9.909694,5.214685,7.79997073344623
9.905088,5.210028,8.100015437450608
9.88642,5.191703,7.769551078621726
9.8863,5.187165,7.79997073344623
9.879279,5.180016,8.599980364934842
10.509549,3.6305342,7.327902142064283
10.509579,3.6305852,7.299988937677887
10.512812,3.6279702,7.100015437450609
9.992688,4.8945184,7.4089353929735005
9.994002,4.9078956,7.400007822415902
9.9808035,4.9210443,7.700057099977233
10.019149,4.8720326,7.522878745280337
10.015725,4.8852744,7.50003813440381
9.989586,4.908169,8.299988937677888
9.785096,5.1041307,7.853871964321762
9.783946,5.1015987,7.899974269892137
9.783421,5.1020966,7.899974269892137
9.822044,5.1208053,7.920818753952375
9.775694,5.079619,7.899974269892137
9.79433,5.0999517,7.899974269892137
9.741255,5.0762177,8.301029995663981
9.745161,5.079939,8.299988937677888
9.74262,5.076103,9.0
9.996171,4.909227,6.835647144215563
9.982323,4.922236,6.799998134593398
9.9819565,4.923051,7.50003813440381
5.647424,14.536718,7.199970640755866
5.651613,14.536948,7.400007822415902
9.899844,5.2001104,8.154901959985743
9.907338,5.192894,8.199970640755867
9.934843,5.2348027,8.899974269892137
9.792775,5.0959625,7.455931955649724
9.78822,5.100241,7.50003813440381
9.791118,5.0973005,8.100015437450608
-2.7466478,3.7559388,7.853871964321762
-2.7469025,3.7557254,7.899974269892137
-2.7466307,3.7559152,8.899974269892137
9.767234,5.0903234,7.657577319177793
9.772964,5.0865717,7.700057099977233
9.776921,5.0890217,8.500038134403809
8.155917,14.9073715,9.05551732784983
1.0829371,14.950745,8.1249387366083
7.1825433,14.261973,6.935542010773082
7.76372,14.653486,7.259637310505756
