tSNE1,tSNE2,pKi
-31.622503,27.75095,8.455931955649724
-19.767405,34.374863,7.301029995663981
-44.033253,35.830032,7.443697499232712
-44.033253,35.830032,7.721246399047171
-39.097725,23.496063,8.102372908709558
-39.098248,23.496851,7.327902142064283
-1.7252705,51.06265,8.698970004336019
-42.53018,58.963135,6.46344155742847
-43.495995,59.18192,7.769551078621726
-42.677372,35.19221,8.443697499232712
-42.677372,35.19221,7.376750709602099
-22.472254,31.915426,6.231361898752385
-46.808323,68.41895,8.397940008672037
-48.193535,68.56879,8.795880017344075
-49.01671,11.497906,6.699991797446187
-17.116863,11.982052,7.397940008672037
-42.944748,65.42198,7.958607314841775
-46.6196,67.95485,8.537602002101044
-49.706913,11.901501,7.299988937677887
-28.012215,79.41649,7.599980364934842
-27.228952,78.18212,5.59999938302362
-21.916916,80.97353,6.599997654072044
-86.515,13.22557,8.0
-63.135838,-10.108514,8.400007822415901
-26.521309,80.02126,8.199970640755867
-27.141369,79.9476,8.0
-58.327415,-5.6473513,7.700057099977233
-23.603983,19.124825,6.699991797446187
-66.80844,4.414721,8.029978734171634
-27.3033,82.110725,6.499996931948306
-65.96914,-3.819652,8.280006173632396
-66.80844,4.414721,7.169989064063882
-61.675716,-1.5598948,7.079981083971085
-32.64696,70.586876,7.029978734171634
-43.91637,107.81737,8.700057099977233
-26.30719,81.0391,8.500038134403809
-50.62739,16.912188,7.309981219211305
-27.239445,80.1365,7.400007822415902
-95.52998,16.367987,8.029978734171634
-37.40036,22.990965,6.900008766455316
-26.98509,80.23887,7.199970640755866
-15.534406,50.17414,8.230032198670557
-28.59064,80.57424,5.899998417198648
-86.13986,14.092298,8.389978975335854
-37.775356,48.513924,5.410000161858408
-65.96914,-3.819652,8.849857838151442
-86.61434,13.344546,8.289967300934247
-25.068682,80.52008,7.700057099977233
-27.138573,79.50442,8.100015437450608
-32.816647,70.572205,5.940001369850308
-36.041428,18.815496,6.699991797446187
-26.793644,1.0575608,5.369999510099088
-21.938349,80.96419,7.599980364934842
-15.127396,-8.246107,6.060001790087838
-27.343721,80.79729,8.199970640755867
-23.604307,19.124323,7.899974269892137
-21.920893,80.97115,7.700057099977233
-65.96914,-3.819652,8.439973751087107
-112.302246,22.756044,8.36001575195841
-65.27329,-2.8407707,7.169989064063882
-60.042137,-2.2475522,6.740000204918113
-32.876183,70.49039,5.550000451689026
-36.588158,18.540272,7.0
-64.73842,-8.711377,9.32002730572258
-25.888285,79.22167,7.599980364934842
-65.79206,83.874626,9.79997073344623
-24.153887,40.105476,7.450016388840311
-61.549866,-7.0838957,8.349984047528162
-72.70627,-19.361065,7.53003079050004
-71.82866,-69.465195,7.789949150124863
-71.82866,-69.465195,8.669992299127241
-46.154507,-59.364685,7.096910013008056
